"","Year","GEOID","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10","DistrictID","District","Grade","Total_Meeting_Standard","Share_Meeting_Standard","Level","Test"
"139","2002","5301230",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32360,"Cheney School District",7,111,39.7,2.08,"WASL"
"140","2002","5301260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33036,"Chewelah School District",7,0,NA,NA,"WASL"
"141","2002","5301290",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16049,"Chimacum School District",7,0,NA,NA,"WASL"
"142","2002","5301320",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2250,"Clarkston School District",7,33,17.5,1.46,"WASL"
"143","2002","5301350","350","400 DENNY AVE","CLE ELUM","WA","98922","LIHTC",26,"36","53","01350","Cle Elum-Roslyn School District",19404,"Cle Elum-Roslyn School District",7,27,34.6,1.96,"WASL"
"144","2002","5301380",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16020,"Queets-Clearwater School District",7,0,NA,NA,"WASL"
"145","2002","5301410","353","3502 92ND ST S","LAKEWOOD","WA","98499","LIHTC",107,"37","53","01410","Clover Park School District",27400,"Clover Park School District",7,149,20.26666667,1.61,"WASL"
"146","2002","5301440",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38300,"Colfax School District",7,18,31,1.92,"WASL"
"147","2002","5301470",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36250,"College Place School District",7,24,29.6,1.69,"WASL"
"148","2002","5301500",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38306,"Colton School District",7,9,56.2,2.43,"WASL"
"149","2002","5301560",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33206,"Columbia (Stevens) School District",7,7,35,1.9,"WASL"
"150","2002","5301590",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36400,"Columbia (Walla Walla) School District",7,24,34.2,1.95,"WASL"
"151","2002","5301630",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33115,"Colville School District",7,62,35,1.99,"WASL"
"152","2002","5301660",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29011,"Concrete School District",7,0,NA,NA,"WASL"
"153","2002","5301680",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29317,"Conway School District",7,25,51,2.42,"WASL"
"154","2002","5301800",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15204,"Coupeville School District",7,26,32,1.92,"WASL"
"155","2002","5301830",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5313,"Crescent School District",7,4,16,1.6,"WASL"
"156","2002","5301860",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22073,"Creston School District",7,3,21.39,1.78,"WASL"
"157","2002","5301890",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10050,"Curlew School District",7,6,31.5,1.94,"WASL"
"158","2002","5301920",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26059,"Cusick School District",7,4,19,1.38,"WASL"
"159","2002","5301980",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31330,"Darrington School District",7,17,30.3,1.8,"WASL"
"160","2002","5302010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22207,"Davenport School District",7,11,32.29,1.93,"WASL"
"161","2002","5302040",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7002,"Dayton School District",7,11,25,1.88,"WASL"
"162","2002","5302070",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32414,"Deer Park School District",7,52,33.29,2,"WASL"
"163","2002","5302130",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27343,"Dieringer School District",7,54,42.79,2.25,"WASL"
"164","2002","5302280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32361,"East Valley School District (Spokane)",7,101,36.56333333,2.05,"WASL"
"165","2002","5302310",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9206,"Eastmont School District",7,113,27.39,1.87,"WASL"
"166","2002","5302340",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19028,"Easton School District",7,1,7.09,1.35,"WASL"
"167","2002","5302370",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27404,"Eatonville School District",7,33,19.5,1.63,"WASL"
"168","2002","5302400",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31015,"Edmonds School District",7,487,35.92,2.00125,"WASL"
"169","2002","5302460",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19401,"Ellensburg School District",7,76,35.29,2.04,"WASL"
"170","2002","5302490",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14068,"Elma School District",7,46,27.8,1.84,"WASL"
"171","2002","5302520",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38308,"Endicott School District",7,11,36.6,2.1,"WASL"
"172","2002","5302550",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4127,"Entiat School District",7,8,28.5,1.85,"WASL"
"173","2002","5302610","41","1120 THIRD AVE NE","EPHRATA","WA","98823","LIHTC",25,"71","53","02610","Ephrata School District",13165,"Ephrata School District",7,44,21.5,1.64,"WASL"
"174","2002","5302670",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31002,"Everett School District",7,403,28.64,1.83,"WASL"
"175","2002","5302700","351","15911 SE MILL PLAIN BLVD","VANCOUVER","WA","98684","LIHTC",24,"74","53","02700","Evergreen School District (Clark)",6114,"Evergreen School District (Clark)",7,595,34.47833333,1.975,"WASL"
"176","2002","5302820","77","28120 18TH AVE S","FEDERAL WAY","WA","98003","LIHTC",194,"76","53","02820","Federal Way School District",17210,"Federal Way School District",7,518,30.53,1.908333333,"WASL"
"177","2002","5302820","20","1001 S 336TH ST","FEDERAL WAY","WA","98003","LIHTC",50,"76","53","02820","Federal Way School District",17210,"Federal Way School District",7,518,30.53,1.908333333,"WASL"
"178","2002","5302850","76","2828 KWINA RD","BELLINGHAM","WA","98226","LIHTC",24,"77","53","02850","Ferndale School District",37502,"Ferndale School District",7,129,30.5,1.955,"WASL"
"179","2002","5302880",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27417,"Fife School District",7,49,21.39,1.64,"WASL"
"180","2002","5302910",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3053,"Finley School District",7,16,14.8,1.58,"WASL"
