"","GEOID","Year","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10"
"50","5300660","2013","560","3284 Rickey Rd NE Apt D102","Bremerton","WA","98310","PUB",8,"16","53","00660","Bremerton School District"
"51","5300660","2012","581","4958 Driftwood St","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"52","5300660","2011","584","235 Oyster Bay Ave S","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"53","5300660","2012","606","4951 Driftwood St","Bremerton","WA","98312","PUB",5,"16","53","00660","Bremerton School District"
"54","5300660","2011","619","4404 Conch St","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"55","5300660","2012","622","4876 Driftwood St","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"56","5300660","2012","656","4804 Driftwood St","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"57","5300660","2012","661","4886 Bay Vista Blvd","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"58","5300660","2012","679","4896 Driftwood St","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"59","5300660","2012","688","4803 Driftwood St","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"60","5300660","2011","699","259 Oyster Bay Ave S","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"61","5300660","2012","722","4938 Driftwood St","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"62","5300660","2012","756","2323 Winfield Ave","Bremerton","WA","98310","PUB",2,"16","53","00660","Bremerton School District"
"63","5300660","2012","791","4778 Bay Vista Blvd","Bremerton","WA","98312","PUB",5,"16","53","00660","Bremerton School District"
"64","5300660","2011","794","153 Oyster Bay Ave S","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"65","5300660","2012","829","4758 Bay Vista Blvd","Bremerton","WA","98312","PUB",5,"16","53","00660","Bremerton School District"
"66","5300660","2012","830","4822 Bay Vista Blvd","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"67","5300660","2012","838","2353 Winfield Ave","Bremerton","WA","98310","PUB",8,"16","53","00660","Bremerton School District"
"68","5300660","2011","878","4441 Conch St","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"69","5300660","2012","881","4835 Driftwood St","Bremerton","WA","98312","PUB",2,"16","53","00660","Bremerton School District"
"70","5300660","2012","886","4798 Bay Vista Blvd","Bremerton","WA","98312","PUB",7,"16","53","00660","Bremerton School District"
"71","5300660","2011","908","265 Oyster Bay Ave S","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"72","5300660","2012","919","4933 Driftwood St","Bremerton","WA","98312","PUB",4,"16","53","00660","Bremerton School District"
"73","5300660","2011","928","4650 Bay Vista Blvd","Bremerton","WA","98312","PUB",83,"16","53","00660","Bremerton School District"
"74","5300660","2011","931","135 Oyster Bay Ave S","Bremerton","WA","98312","PUB",3,"16","53","00660","Bremerton School District"
"75","5300660","2016","939","2307 Winfield Ave","Bremerton","WA","98310","PUB",2,"16","53","00660","Bremerton School District"
