"","GEOID","Year","FID_1","PROJ_AD","PROJ_CT","PROJ_ST","PROJ_ZI","HOUSING","Units","FID_2","STATEFP10","UNSDLEA10","NAME10"
"220","5303540","2003","440","1400 SW 107TH ST","SEATTLE","WA","98146","LIHTC",335,"95","53","03540","Highline School District"
"221","5303540","2005","511","3725 S 180TH ST","SEATAC","WA","98188","LIHTC",103,"95","53","03540","Highline School District"
"222","5303540","2006","519","149 S 140TH ST","BURIEN","WA","98168","LIHTC",101,"95","53","03540","Highline School District"
"223","5303540","2006","547","9824 9th Pl SW Apt 9J1","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"224","5303540","2006","550","9708 9th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"225","5303540","2013","552","10877 4th Pl SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"226","5303540","2010","558","9921 3rd Ln SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"227","5303540","2006","567","9734 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"228","5303540","2010","574","9978 4th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"229","5303540","2013","592","10951 4th Pl SW","Seattle","WA","98146","PUB",2,"95","53","03540","Highline School District"
"230","5303540","2009","597","710 SW 97th St","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"231","5303540","2010","605","9964 3rd Ln SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"232","5303540","2006","607","9707 9th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"233","5303540","2010","610","629 SW 97th Pl","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"234","5303540","2010","613","679 SW 97th St","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"235","5303540","2010","625","9966 4th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"236","5303540","2011","629","9711 6th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"237","5303540","2010","631","9722 7th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"238","5303540","2010","632","645 SW 97th Pl","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"239","5303540","2006","639","9740 10th Pl SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"240","5303540","2006","648","9916 10th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"241","5303540","2006","651","9821 9th Ave SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"242","5303540","2006","659","9825 7th Ave SW","Seattle","WA","98106","PUB",8,"95","53","03540","Highline School District"
"243","5303540","2009","667","740 SW 96th Cir","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"244","5303540","2006","668","9702 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"245","5303540","2010","671","9980 3rd Ln SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"246","5303540","2010","672","660 SW 97th St","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"247","5303540","2010","675","9771 6th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"248","5303540","2010","686","694 SW 96th Cir","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"249","5303540","2010","687","686 SW 96th Cir","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"250","5303540","2006","690","9742 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"251","5303540","2009","692","9905 7th Ave SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"252","5303540","2011","696","448 SW 112th Ln","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"253","5303540","2013","700","10861 5th Ln SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"254","5303540","2006","701","9718 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"255","5303540","2011","706","9818 6th Pl SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"256","5303540","2006","708","905 SW 99th St","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"257","5303540","2011","716","9725 6th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"258","5303540","2013","720","10897 5th Ln SW","Seattle","WA","98146","PUB",2,"95","53","03540","Highline School District"
"259","5303540","2013","726","10872 5th Ln SW","Seattle","WA","98146","PUB",3,"95","53","03540","Highline School District"
"260","5303540","2010","729","9974 4th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"261","5303540","2006","746","9723 8th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"262","5303540","2013","749","10858 5th Ln SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"263","5303540","2006","750","9804 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"264","5303540","2013","753","433 SW 108th Pl","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"265","5303540","2013","754","10857 4th Pl SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"266","5303540","2011","765","11432 4th Pl SW","Seattle","WA","98146","PUB",2,"95","53","03540","Highline School District"
"267","5303540","2011","783","9740 7th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"268","5303540","2006","787","9741 8th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"269","5303540","2013","788","10888 5th Ln SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"270","5303540","2009","790","730 SW 100th St","Seattle","WA","98106","PUB",5,"95","53","03540","Highline School District"
"271","5303540","2006","797","9816 9th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"272","5303540","2009","799","9915 7th Ave SW","Seattle","WA","98106","PUB",10,"95","53","03540","Highline School District"
"273","5303540","2011","800","9806 6th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"274","5303540","2011","804","428 SW 112th Ln","Seattle","WA","98146","PUB",3,"95","53","03540","Highline School District"
"275","5303540","2009","809","9923 7th Ave SW","Seattle","WA","98106","PUB",5,"95","53","03540","Highline School District"
"276","5303540","2010","818","9922 3rd Ln SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"277","5303540","2011","824","9842 6th Pl SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"278","5303540","2010","827","678 SW 96th Cir","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"279","5303540","2006","836","9932 10th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"280","5303540","2013","840","487 SW 110th Ln","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"281","5303540","2010","847","9851 6th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"282","5303540","2006","864","9807 8th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"283","5303540","2013","867","458 SW 110th Ln","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"284","5303540","2006","872","937 SW 99th St","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"285","5303540","2013","874","10868 4th Pl SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"286","5303540","2008","883","9935 8th Ave SW","Seattle","WA","98106","PUB",74,"95","53","03540","Highline School District"
"287","5303540","2006","884","9917 9th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"288","5303540","2006","888","9714 9th Pl SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"289","5303540","2010","894","9626 6th Cir SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"290","5303540","2013","897","10881 5th Ln SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"291","5303540","2011","916","9870 6th Pl SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"292","5303540","2011","920","9739 6th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"293","5303540","2009","930","720 SW 96th Cir","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"294","5303540","2009","935","9640 8th Ave SW","Seattle","WA","98106","PUB",15,"95","53","03540","Highline School District"
"295","5303540","2006","936","921 SW 99th St","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"296","5303540","2006","957","9723 9th Pl SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"297","5303540","2013","959","467 SW 110th Ln","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"298","5303540","2006","969","9800 9th Pl SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"299","5303540","2013","984","10821 5th Ln SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"300","5303540","2013","985","471 SW 108th Pl","Seattle","WA","98146","PUB",3,"95","53","03540","Highline School District"
"301","5303540","2006","989","9709 8th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"302","5303540","2006","992","9812 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"303","5303540","2013","998","10972 5th Ave SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"304","5303540","2006","1008","9633 8th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"305","5303540","2013","1014","10991 4th Pl SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"306","5303540","2006","1015","9808 9th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"307","5303540","2013","1030","417 SW 110th Ln","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"308","5303540","2010","1041","9990 4th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"309","5303540","2006","1043","9717 9th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"310","5303540","2011","1051","11444 4th Pl SW","Seattle","WA","98146","PUB",2,"95","53","03540","Highline School District"
"311","5303540","2006","1056","9739 9th Pl SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"312","5303540","2011","1058","9728 6th Pl SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"313","5303540","2006","1062","9925 9th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"314","5303540","2013","1065","10958 5th Ave SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"315","5303540","2010","1066","9632 6th Cir SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"316","5303540","2009","1071","730 SW 96th Cir","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"317","5303540","2013","1074","10830 4th Pl SW","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"318","5303540","2006","1080","9805 9th Ave SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"319","5303540","2008","1087","9922 9th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"320","5303540","2006","1092","9649 8th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"321","5303540","2010","1094","9827 6th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"322","5303540","2009","1096","741 SW 96th Cir","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"323","5303540","2006","1097","9839 8th Ave SW","Seattle","WA","98106","PUB",10,"95","53","03540","Highline School District"
"324","5303540","2006","1105","9724 10th Pl SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"325","5303540","2013","1108","447 SW 110th Ln","Seattle","WA","98146","PUB",4,"95","53","03540","Highline School District"
"326","5303540","2009","1116","750 SW 96th Cir","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"327","5303540","2013","1123","451 SW 108th Pl","Seattle","WA","98146","PUB",2,"95","53","03540","Highline School District"
"328","5303540","2010","1127","9998 4th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"329","5303540","2010","1129","9942 3rd Ln SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"330","5303540","2011","1131","11468 4th Pl SW","Seattle","WA","98146","PUB",3,"95","53","03540","Highline School District"
"331","5303540","2013","1134","10935 4th Pl SW","Seattle","WA","98146","PUB",3,"95","53","03540","Highline School District"
"332","5303540","2011","1136","11220 5th Ave SW","Seattle","WA","98146","PUB",3,"95","53","03540","Highline School District"
"333","5303540","2006","1139","9710 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"334","5303540","2006","1146","922 SW 100th St","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"335","5303540","2006","1148","9940 10th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"336","5303540","2006","1154","953 SW 99th St","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"337","5303540","2006","1160","9820 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"338","5303540","2010","1168","613 SW 97th Pl","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"339","5303540","2010","1177","9967 3rd Ln SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"340","5303540","2006","1188","9840 9th Pl SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"341","5303540","2006","1193","9726 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"342","5303540","2006","1194","9730 9th Ave SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"343","5303540","2010","1201","9947 3rd Ln SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"344","5303540","2006","1202","9725 8th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"345","5303540","2008","1211","9914 9th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"346","5303540","2006","1215","9837 9th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"347","5303540","2010","1221","9803 6th Ave SW","Seattle","WA","98106","PUB",4,"95","53","03540","Highline School District"
"348","5303540","2009","1223","722 SW 100th St","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"349","5303540","2009","1225","9929 7th Ave SW","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"350","5303540","2009","1227","760 SW 97th St","Seattle","WA","98106","PUB",6,"95","53","03540","Highline School District"
"351","5303540","2006","1228","9828 9th Ave SW","Seattle","WA","98106","PUB",3,"95","53","03540","Highline School District"
"352","5303540","2006","1240","9733 9th Ave SW","Seattle","WA","98106","PUB",2,"95","53","03540","Highline School District"
"353","5303660","2001","8","703 SIMPSON AVE","HOQUIAM","WA","98550","LIHTC",59,"98","53","03660","Hoquiam School District"
"354","5303750","2008","111","280 SW CLARK ST","ISSAQUAH","WA","98027","LIHTC",37,"101","53","03750","Issaquah School District"
"355","5303750","2011","177","942 DISCOVERY CIR NE","ISSAQUAH","WA","98029","LIHTC",118,"101","53","03750","Issaquah School District"
"356","5303750","2011","259","15900 227TH AVE SE","MAPLE VALLEY","WA","98038","LIHTC",46,"101","53","03750","Issaquah School District"
"357","5303750","2011","261","967 NE INGRAM WAY","ISSAQUAH","WA","98029","LIHTC",48,"101","53","03750","Issaquah School District"
"358","5303750","2007","284","245 SW CLARK ST","ISSAQUAH","WA","98027","LIHTC",28,"101","53","03750","Issaquah School District"
"359","5303750","2011","411","930 NE HIGH ST","ISSAQUAH","WA","98029","LIHTC",98,"101","53","03750","Issaquah School District"
"360","5303750","2007","469","1660 24TH PL NE","ISSAQUAH","WA","98029","LIHTC",50,"101","53","03750","Issaquah School District"
"361","5303750","2006","531","341 SHANGRILA WAY NW","ISSAQUAH","WA","98027","LIHTC",51,"101","53","03750","Issaquah School District"
"362","5300003","2000","71","1187 WESTSIDE HWY","KELSO","WA","98626","LIHTC",99,"105","53","00003","Kelso School District"
"363","5300003","2006","144","2611 ABBOTSFORD LOOP","KELSO","WA","98626","LIHTC",26,"105","53","00003","Kelso School District"
"364","5303930","2008","167","1001 W FOURTH AVE","KENNEWICK","WA","99336","LIHTC",155,"106","53","03930","Kennewick School District"
"365","5303930","2013","291","635 S AUBURN ST","KENNEWICK","WA","99336","LIHTC",155,"106","53","03930","Kennewick School District"
"366","5303930","2012","363","5501 W HILDEBRAND BLVD","KENNEWICK","WA","99338","LIHTC",230,"106","53","03930","Kennewick School District"
"367","5303930","2006","524","4711 W METALINE AVE","KENNEWICK","WA","99336","LIHTC",236,"106","53","03930","Kennewick School District"
"368","5303960","2000","19","1406 MAPLE LN","KENT","WA","98030","LIHTC",50,"107","53","03960","Kent School District"
"369","5303960","2002","26","26212 106TH PL SE","KENT","WA","98030","LIHTC",104,"107","53","03960","Kent School District"
"370","5303960","2001","55","22416 88TH AVE S","KENT","WA","98031","LIHTC",251,"107","53","03960","Kent School District"
"371","5303960","2004","103","615 W HARRISON ST","KENT","WA","98032","LIHTC",93,"107","53","03960","Kent School District"
"372","5303960","2010","186","27360 129TH PL SE","KENT","WA","98030","LIHTC",259,"107","53","03960","Kent School District"
"373","5303960","2007","225","13510 SE 272ND ST","KENT","WA","98042","LIHTC",134,"107","53","03960","Kent School District"
"374","5303960","2007","229","26404 104TH AVE SE","KENT","WA","98030","LIHTC",100,"107","53","03960","Kent School District"
"375","5303960","2009","336","26902 169TH PL SE","COVINGTON","WA","98042","LIHTC",121,"107","53","03960","Kent School District"
"376","5303960","2012","364","24420 64TH AVE S","KENT","WA","98032","LIHTC",372,"107","53","03960","Kent School District"
"377","5303960","2005","414","329 RIDGEVIEW DR","KENT","WA","98032","LIHTC",171,"107","53","03960","Kent School District"
"378","5303960","2014","647","503 4th Ave S","Kent","WA","98032","PUB",4,"107","53","03960","Kent School District"
"379","5303960","2014","1203","503 4th Ave S","Kent","WA","98032","PUB",4,"107","53","03960","Kent School District"
"380","5304020","2003","159","510 14TH ST","BENTON CITY","WA","99320","LIHTC",25,"109","53","04020","Kiona-Benton School District"
"381","5304200","2003","439","420 101ST AVE SE","LAKE STEVENS","WA","98258","LIHTC",39,"117","53","04200","Lake Stevens School District"
"382","5304230","2011","263","12601 NE 124TH ST","KIRKLAND","WA","98034","LIHTC",60,"118","53","04230","Lake Washington School District"
"383","5304230","2003","270","9224 SLATER AVE NE","KIRKLAND","WA","98033","LIHTC",110,"118","53","04230","Lake Washington School District"
"384","5304230","2006","333","9805 AVONDALE RD NE","REDMOND","WA","98052","LIHTC",118,"118","53","04230","Lake Washington School District"
"385","5304230","2004","376","18435 NE 98TH WAY","REDMOND","WA","98052","LIHTC",53,"118","53","04230","Lake Washington School District"
"386","5304230","2004","507","451 FOURTH AVE S","KIRKLAND","WA","98033","LIHTC",66,"118","53","04230","Lake Washington School District"
"387","5304230","2011","1235","421 7th Ave","Kirkland","WA","98033","PUB",9,"118","53","04230","Lake Washington School District"
"388","5304470","2006","541","3133 MARYLAND ST","LONGVIEW","WA","98632","LIHTC",52,"123","53","04470","Longview Public Schools"
"389","5304470","2006","542","2024 TIBBETTS DR","LONGVIEW","WA","98632","LIHTC",101,"123","53","04470","Longview Public Schools"
"390","5304650","2003","252","708 WASHINGTON ST","MABTON","WA","98935","LIHTC",25,"128","53","04650","Mabton School District"
"391","5304740","2000","16","345 MADELINE RD","MANSON","WA","98831","LIHTC",19,"130","53","04740","Manson School District"
"392","5304860","2001","3","8700 67TH AVE NE","MARYSVILLE","WA","98270","LIHTC",130,"133","53","04860","Marysville School District"
"393","5304860","2013","135","11923 SMOKEY POINT BLVD","MARYSVILLE","WA","0","LIHTC",204,"133","53","04860","Marysville School District"
"394","5304860","2009","152","7527 51ST AVE NE","MARYSVILLE","WA","98270","LIHTC",45,"133","53","04860","Marysville School District"
"395","5304860","2009","214","7412 LARRY PRICE LOOP RD","TULALIP","WA","98271","LIHTC",25,"133","53","04860","Marysville School District"
"396","5304860","2004","274","4308 76TH ST NE","MARYSVILLE","WA","98270","LIHTC",18,"133","53","04860","Marysville School District"
"397","5304860","2008","314","8205 16TH AVE NW","TULALIP","WA","98271","LIHTC",25,"133","53","04860","Marysville School District"
"398","5304860","2013","429","4329 84TH ST NE","MARYSVILLE","WA","98270","LIHTC",67,"133","53","04860","Marysville School District"
"399","5304920","2003","158","1225 E WESTVIEW CT","SPOKANE","WA","99218","LIHTC",114,"135","53","04920","Mead School District"
"400","5304920","2008","308","13110 N ADDISON ST","SPOKANE","WA","99208","LIHTC",252,"135","53","04920","Mead School District"
"401","5304920","2005","418","9728 N MORTON CT","SPOKANE","WA","99218","LIHTC",108,"135","53","04920","Mead School District"
"402","5304980","2014","902","3030 81st Pl SE","Mercer Island","WA","98040","PUB",10,"137","53","04980","Mercer Island School District"
"403","5304980","2014","1212","3050 81st Pl SE","Mercer Island","WA","98040","PUB",20,"137","53","04980","Mercer Island School District"
"404","5305010","2014","463","5845 PACIFIC RIM WAY","BELLINGHAM","WA","98226","LIHTC",132,"138","53","05010","Meridian School District"
"405","5305160","2007","474","141 S RIVER ST","MONTESANO","WA","98563","LIHTC",23,"142","53","05160","Montesano School District"
"406","5305160","2007","475","114 E MARCY AVE","MONTESANO","WA","98563","LIHTC",30,"142","53","05160","Montesano School District"
"407","5305220","2000","70","1432 E CRAIG ST","MOSES LAKE","WA","98837","LIHTC",25,"144","53","05220","Moses Lake School District"
"408","5305220","2005","123","1422 E CRAIG ST","MOSES LAKE","WA","98837","LIHTC",25,"144","53","05220","Moses Lake School District"
"409","5305220","2008","232","816 SHARON AVE E","MOSES LAKE","WA","98837","LIHTC",84,"144","53","05220","Moses Lake School District"
"410","5305220","2003","250","801 N EVELYN DR","MOSES LAKE","WA","98837","LIHTC",25,"144","53","05220","Moses Lake School District"
"411","5305220","2004","278","211 E SEVENTH AVE","MOSES LAKE","WA","98837","LIHTC",19,"144","53","05220","Moses Lake School District"
"412","5305220","2006","328","303 W SIXTH AVE","MOSES LAKE","WA","98837","LIHTC",35,"144","53","05220","Moses Lake School District"
"413","5305220","2007","461","222 E NINTH AVE","MOSES LAKE","WA","98837","LIHTC",96,"144","53","05220","Moses Lake School District"
"414","5305220","2003","498","1407 ARNOLD DR","MOSES LAKE","WA","98837","LIHTC",50,"144","53","05220","Moses Lake School District"
"415","5305220","2004","506","1243 ADAIR ST","MOSES LAKE","WA","98837","LIHTC",25,"144","53","05220","Moses Lake School District"
"416","5305310","2008","309","4749 FALSE CREEK LN","DEMING","WA","98244","LIHTC",22,"147","53","05310","Mount Baker School District"
"417","5305310","2006","523","5912 EDITH DR","DEMING","WA","98244","LIHTC",24,"147","53","05310","Mount Baker School District"
"418","5305400","2001","30","2419 CONTINENTAL PL","MT VERNON","WA","98273","LIHTC",50,"149","53","05400","Mount Vernon School District"
"419","5305400","2005","120","200 S LAVENTURE RD","MT VERNON","WA","98274","LIHTC",180,"149","53","05400","Mount Vernon School District"
"420","5305400","2012","148","1917 N LAVENTURE RD","MT VERNON","WA","98273","LIHTC",42,"149","53","05400","Mount Vernon School District"
"421","5305400","2008","169","209 MILWAUKEE ST","MT VERNON","WA","98273","LIHTC",15,"149","53","05400","Mount Vernon School District"
"422","5305400","2007","255","3700 E COLLEGE WAY","MT VERNON","WA","98273","LIHTC",30,"149","53","05400","Mount Vernon School District"
"423","5305400","2007","465","3100 N 30TH ST","MT VERNON","WA","98273","LIHTC",50,"149","53","05400","Mount Vernon School District"
"424","5305400","2005","513","1500 WILLIAM WAY","MT VERNON","WA","98273","LIHTC",80,"149","53","05400","Mount Vernon School District"
"425","5305430","2002","23","900 W CASINO RD","EVERETT","WA","98204","LIHTC",198,"150","53","05430","Mukilteo School District"
"426","5305430","2001","29","9500 HOLLY DR","EVERETT","WA","98204","LIHTC",149,"150","53","05430","Mukilteo School District"
"427","5305430","2001","47","2721 LINCOLN WAY","LYNNWOOD","WA","98087","LIHTC",50,"150","53","05430","Mukilteo School District"
"428","5305430","2005","415","1011 128TH ST SW","EVERETT","WA","98204","LIHTC",133,"150","53","05430","Mukilteo School District"
"429","5305430","2013","433","2721 LINCOLN WAY","LYNNWOOD","WA","98087","LIHTC",50,"150","53","05430","Mukilteo School District"
"430","5305430","2007","456","12601 EIGHTH AVE W","EVERETT","WA","98204","LIHTC",211,"150","53","05430","Mukilteo School District"
"431","5305430","2003","500","1707 MERRILL CREEK PKWY","EVERETT","WA","98203","LIHTC",244,"150","53","05430","Mukilteo School District"
"432","5305430","2006","527","12709 AVONDALE WAY","EVERETT","WA","98204","LIHTC",14,"150","53","05430","Mukilteo School District"
"433","5305430","2006","528","2 W CASINO RD","EVERETT","WA","98204","LIHTC",217,"150","53","05430","Mukilteo School District"
"434","5305670","2007","478","2572 GEORGE CT","EVERSON","WA","98247","LIHTC",15,"157","53","05670","Nooksack Valley School District"
"435","5305670","2006","522","2582 SULWHANON DR","EVERSON","WA","98247","LIHTC",24,"157","53","05670","Nooksack Valley School District"
"436","5305760","2004","101","19495 FIRST AVE NE","POULSBO","WA","98370","LIHTC",16,"160","53","05760","North Kitsap School District"
"437","5305760","2003","248","703 NE HOSTMARK ST","POULSBO","WA","98370","LIHTC",120,"160","53","05760","North Kitsap School District"
"438","5305760","2013","427","10878 NE W KINGSTON RD","KINGSTON","WA","98346","LIHTC",35,"160","53","05760","North Kitsap School District"
"439","5305760","2007","468","26659 MYRTLE LN NE","KINGSTON","WA","98346","LIHTC",43,"160","53","05760","North Kitsap School District"
"440","5305850","2000","14","1410 MAGNOLIA ST SE","LACEY","WA","98503","LIHTC",20,"163","53","05850","North Thurston Public Schools"
"441","5305850","2000","39","5701 30TH AVE SE","LACEY","WA","98503","LIHTC",116,"163","53","05850","North Thurston Public Schools"
"442","5305910","2001","12","7021 NE 182ND ST","KENMORE","WA","98028","LIHTC",46,"165","53","05910","Northshore School District"
"443","5305910","2000","89","7025 NE 182ND ST","KENMORE","WA","98028","LIHTC",50,"165","53","05910","Northshore School District"
"444","5305910","2011","114","18240 70TH LN NE","KENMORE","WA","98028","LIHTC",21,"165","53","05910","Northshore School District"
"445","5305910","2003","163","18746 144TH AVE NE","WOODINVILLE","WA","98072","LIHTC",50,"165","53","05910","Northshore School District"
"446","5305910","2003","164","14390 NE 189TH PL","WOODINVILLE","WA","98072","LIHTC",50,"165","53","05910","Northshore School District"
"447","5305910","2012","204","2129 MALTBY RD","BOTHELL","WA","98021","LIHTC",181,"165","53","05910","Northshore School District"
"448","5305910","2010","587","18309 96th Ave NE","Bothell","WA","98011","PUB",17,"165","53","05910","Northshore School District"
"449","5305910","2010","713","18417 96th Ave NE","Bothell","WA","98011","PUB",6,"165","53","05910","Northshore School District"
"450","5305940","2008","108","55 SW SIXTH AVE","OAK HARBOR","WA","98277","LIHTC",28,"166","53","05940","Oak Harbor School District"
"451","5305940","2013","288","240 NE IZETT ST","OAK HARBOR","WA","98277","LIHTC",40,"166","53","05940","Oak Harbor School District"
"452","5305940","2013","373","280 NE IZETT ST","OAK HARBOR","WA","98277","LIHTC",16,"166","53","05940","Oak Harbor School District"
"453","5305940","2007","460","869 N OAK HARBOR ST","OAK HARBOR","WA","98277","LIHTC",29,"166","53","05940","Oak Harbor School District"
"454","5306180","2001","11","505 DIVISION ST NW","OLYMPIA","WA","98502","LIHTC",180,"173","53","06180","Olympia School District"
"455","5306180","2011","190","1209 FERN ST SW","OLYMPIA","WA","98502","LIHTC",104,"173","53","06180","Olympia School District"
"456","5306180","2013","208","1900 ASHWOOD DOWNS LN SE","OLYMPIA","WA","98501","LIHTC",96,"173","53","06180","Olympia School District"
