GEOID10,Year,Count_HH,English_Only,Sh_Eng_Only,Other_Lang,Sh_Other_Lang,Tot_Fam_HH,Married_Fam_HH,Sh_Married_Fam,Single_Parent_Fam,Sh_Single_Fam,Average_HINCP,Count_Ind,HISP,Share_Hisp,White_Non_Hisp,Sh_White_Non_Hisp,Other,Sh_Other
5311609,2015,540,349,0.646296296,191,0.353703704,329,277,0.841945289,52,0.158054711,131868.8647,1412,64,0.045325779,907,0.642351275,441,0.312322946
5311610,2015,458,294,0.641921397,164,0.358078603,263,214,0.813688213,49,0.186311787,78281.56177,1108,123,0.11101083,584,0.527075812,401,0.361913357
5311611,2015,491,294,0.598778004,197,0.401221996,259,194,0.749034749,65,0.250965251,70779.0514,1156,145,0.125432526,581,0.502595156,430,0.371972318
5311612,2015,438,286,0.652968037,152,0.347031963,233,189,0.811158798,44,0.188841202,75024.92564,995,122,0.122613065,570,0.572864322,303,0.304522613
5311613,2015,423,253,0.598108747,170,0.401891253,227,181,0.797356828,46,0.202643172,72061.41799,1128,139,0.12322695,567,0.502659574,422,0.374113475
5311614,2015,491,342,0.696537678,149,0.303462322,272,219,0.805147059,53,0.194852941,77263.5034,1205,165,0.136929461,730,0.605809129,310,0.257261411
5311615,2015,458,389,0.849344978,69,0.150655022,325,269,0.827692308,56,0.172307692,114139.1193,1172,80,0.068259386,948,0.80887372,144,0.122866894
5311616,2015,458,334,0.729257642,124,0.270742358,286,242,0.846153846,44,0.153846154,136358.9066,1123,60,0.053428317,904,0.804986643,159,0.14158504
5311701,2015,463,321,0.693304536,142,0.306695464,282,224,0.794326241,58,0.205673759,96107.3753,1087,80,0.073597056,769,0.707451702,238,0.218951242
5311702,2015,421,276,0.655581948,145,0.344418052,244,203,0.831967213,41,0.168032787,86317.29517,1032,76,0.073643411,654,0.63372093,302,0.292635659
5311703,2015,475,329,0.692631579,146,0.307368421,254,205,0.807086614,49,0.192913386,73637.95181,1002,110,0.109780439,732,0.730538922,160,0.159680639
5311704,2015,443,318,0.717832957,125,0.282167043,287,227,0.790940767,60,0.209059233,105713.7251,1169,69,0.059024808,848,0.72540633,252,0.215568862
5311705,2015,620,483,0.779032258,137,0.220967742,382,320,0.837696335,62,0.162303665,104565.7821,1466,111,0.075716235,1236,0.843110505,119,0.081173261
5311706,2015,589,481,0.81663837,108,0.18336163,382,319,0.835078534,63,0.164921466,94005.06157,1404,86,0.061253561,1135,0.808404558,183,0.13034188
5311801,2015,763,602,0.788990826,161,0.211009174,477,394,0.825995807,83,0.174004193,99616.37234,1648,88,0.053398058,1293,0.784587379,267,0.162014563
5311802,2015,576,439,0.762152778,137,0.237847222,328,263,0.801829268,65,0.198170732,82516.5891,1216,82,0.067434211,960,0.789473684,174,0.143092105
5311900,2015,638,472,0.739811912,166,0.260188088,353,288,0.815864023,65,0.184135977,72878.47276,1154,42,0.036395147,897,0.77729636,215,0.186308492
5310100,2014,890,625,0.702247191,265,0.297752809,450,363,0.806666667,87,0.239669421,71280.76529,1808,144,0.079646018,1446,0.799778761,218,0.120575221
5310200,2014,1964,1467,0.74694501,497,0.25305499,1071,903,0.843137255,168,0.186046512,77067.32981,3662,233,0.063626434,3114,0.850354997,315,0.086018569
5310300,2014,524,336,0.641221374,188,0.358778626,292,241,0.825342466,51,0.211618257,65530.21635,1053,230,0.218423552,778,0.738841406,45,0.042735043
5310400,2014,882,634,0.718820862,248,0.281179138,464,357,0.769396552,107,0.299719888,48985.2482,1707,111,0.065026362,1253,0.734036321,343,0.200937317
5310501,2014,541,409,0.756007394,132,0.243992606,296,206,0.695945946,90,0.436893204,57808.06459,1167,48,0.041131105,977,0.837189374,142,0.12167952
5310502,2014,666,453,0.68018018,213,0.31981982,290,224,0.772413793,66,0.294642857,71849.79644,1275,84,0.065882353,1055,0.82745098,136,0.106666667
5310503,2014,491,421,0.857433809,70,0.142566191,302,240,0.794701987,62,0.258333333,65735.70087,1126,42,0.037300178,1018,0.904085258,66,0.058614565
5310504,2014,492,338,0.68699187,154,0.31300813,265,219,0.826415094,46,0.210045662,76361.44167,1049,51,0.048617731,922,0.878932316,76,0.072449952
5310600,2014,886,604,0.681715576,282,0.318284424,420,350,0.833333333,70,0.2,57850.83808,1616,130,0.080445545,1389,0.859529703,97,0.060024752
5310701,2014,395,284,0.718987342,111,0.281012658,269,205,0.762081784,64,0.312195122,82307.50413,1034,289,0.279497099,676,0.65377176,69,0.066731141
5310702,2014,369,280,0.758807588,89,0.241192412,238,189,0.794117647,49,0.259259259,79862.45,876,168,0.191780822,652,0.744292237,56,0.063926941
5310703,2014,534,324,0.606741573,210,0.393258427,272,216,0.794117647,56,0.259259259,69696.72135,1118,246,0.220035778,805,0.720035778,67,0.059928444
5310800,2014,629,377,0.59936407,252,0.40063593,327,262,0.801223242,65,0.248091603,62231.16176,1275,377,0.295686275,840,0.658823529,58,0.045490196
5310901,2014,426,261,0.612676056,165,0.387323944,235,158,0.672340426,77,0.487341772,57492.73611,966,355,0.367494824,544,0.563146998,67,0.069358178
5310902,2014,481,263,0.546777547,218,0.453222453,344,250,0.726744186,94,0.376,61107.76112,1385,725,0.523465704,512,0.36967509,148,0.106859206
5311000,2014,710,549,0.773239437,161,0.226760563,401,325,0.810473815,76,0.233846154,58999.07939,1467,100,0.068166326,1278,0.871165644,89,0.06066803
5311101,2014,585,439,0.75042735,146,0.24957265,311,228,0.733118971,83,0.364035088,66078.55837,1249,121,0.096877502,962,0.770216173,166,0.132906325
5311102,2014,452,385,0.851769912,67,0.148230088,300,240,0.8,60,0.25,77022.72454,1091,46,0.042163153,925,0.847846013,120,0.109990834
5311103,2014,407,337,0.828009828,70,0.171990172,301,237,0.787375415,64,0.270042194,92932.73402,1051,51,0.048525214,860,0.818268316,140,0.13320647
5311104,2014,505,407,0.805940594,98,0.194059406,351,294,0.837606838,57,0.193877551,87680.5087,1365,80,0.058608059,1184,0.867399267,101,0.073992674
5311200,2014,672,513,0.763392857,159,0.236607143,349,251,0.719197708,98,0.390438247,55866.6721,1311,110,0.083905416,1097,0.836765828,104,0.079328757
5311300,2014,778,525,0.674807198,253,0.325192802,394,290,0.736040609,104,0.35862069,57993.29038,1538,166,0.10793238,1120,0.728218466,252,0.163849155
5311401,2014,609,469,0.770114943,140,0.229885057,338,265,0.784023669,73,0.275471698,75075.50743,1296,78,0.060185185,1025,0.790895062,193,0.148919753
5311402,2014,480,396,0.825,84,0.175,313,252,0.805111821,61,0.242063492,79405.64706,1084,38,0.035055351,936,0.863468635,110,0.101476015
5311501,2014,590,380,0.644067797,210,0.355932203,267,186,0.696629213,81,0.435483871,65918.8954,1211,135,0.111478117,721,0.595375723,355,0.29314616
5311502,2014,532,402,0.755639098,130,0.244360902,303,254,0.838283828,49,0.192913386,94703.01556,1057,51,0.048249763,882,0.834437086,124,0.11731315
5311503,2014,476,295,0.619747899,181,0.380252101,241,194,0.804979253,47,0.242268041,68832.82402,952,85,0.089285714,610,0.640756303,257,0.269957983
5311504,2014,504,326,0.646825397,178,0.353174603,277,201,0.725631769,76,0.378109453,61687.84112,1120,125,0.111607143,672,0.6,323,0.288392857
5311505,2014,763,607,0.795543906,156,0.204456094,511,416,0.81409002,95,0.228365385,93554.50417,1877,129,0.068726692,1409,0.750665956,339,0.180607352
5311506,2014,478,391,0.817991632,87,0.182008368,318,245,0.770440252,73,0.297959184,86310.23476,1184,98,0.08277027,912,0.77027027,174,0.146959459
5311507,2014,437,364,0.832951945,73,0.167048055,288,234,0.8125,54,0.230769231,72830.48861,1073,64,0.059645853,920,0.857409133,89,0.082945014
5311601,2014,623,490,0.786516854,133,0.213483146,279,232,0.831541219,47,0.202586207,99711.67075,1198,51,0.042570952,997,0.832220367,150,0.125208681
5311602,2014,684,374,0.546783626,310,0.453216374,255,222,0.870588235,33,0.148648649,109378.5694,1256,64,0.050955414,907,0.722133758,285,0.226910828
5311603,2014,658,418,0.635258359,240,0.364741641,172,152,0.88372093,20,0.131578947,100506.5962,983,55,0.05595117,723,0.735503561,205,0.20854527
5311604,2014,463,300,0.647948164,163,0.352051836,212,172,0.811320755,40,0.23255814,106370.8747,948,63,0.066455696,557,0.587552743,328,0.345991561
5311605,2014,568,380,0.669014085,188,0.330985915,305,230,0.754098361,75,0.326086957,94381.63796,1243,90,0.072405471,684,0.550281577,469,0.377312953
5311606,2014,517,371,0.717601547,146,0.282398453,300,244,0.813333333,56,0.229508197,99280.27332,1174,57,0.048551959,911,0.775979557,206,0.175468484
5311607,2014,569,349,0.613356766,220,0.386643234,337,299,0.887240356,38,0.127090301,128396.7336,1283,80,0.062353858,888,0.692127825,315,0.245518316
5311608,2014,600,345,0.575,255,0.425,382,328,0.858638743,54,0.164634146,147423.511,1391,54,0.038820992,838,0.602444285,499,0.358734723
5311609,2014,528,369,0.698863636,159,0.301136364,386,348,0.901554404,38,0.109195402,160428.7246,1386,70,0.050505051,957,0.69047619,359,0.259018759
5311610,2014,480,301,0.627083333,179,0.372916667,297,226,0.760942761,71,0.314159292,88267.32648,1149,116,0.100957354,559,0.486510009,474,0.412532637
5311611,2014,486,321,0.660493827,165,0.339506173,272,208,0.764705882,64,0.307692308,74060.59729,1161,165,0.142118863,617,0.531438415,379,0.326442722
5311612,2014,435,277,0.636781609,158,0.363218391,258,190,0.736434109,68,0.357894737,80635.73506,1010,118,0.116831683,612,0.605940594,280,0.277227723
5311613,2014,428,262,0.612149533,166,0.387850467,263,182,0.692015209,81,0.445054945,75556.49067,1025,97,0.094634146,556,0.542439024,372,0.362926829
5311614,2014,466,342,0.733905579,124,0.266094421,282,205,0.726950355,77,0.375609756,75783.29314,1100,111,0.100909091,709,0.644545455,280,0.254545455
5311615,2014,449,395,0.879732739,54,0.120267261,334,286,0.856287425,48,0.167832168,104314.5655,1191,52,0.043660789,1004,0.842989085,135,0.113350126
5311616,2014,410,318,0.775609756,92,0.224390244,294,261,0.887755102,33,0.126436782,140902.768,1053,64,0.060778727,848,0.805318139,141,0.133903134
5311701,2014,444,313,0.704954955,131,0.295045045,280,227,0.810714286,53,0.233480176,85670.71744,976,49,0.050204918,715,0.732581967,212,0.217213115
5311702,2014,408,264,0.647058824,144,0.352941176,265,215,0.811320755,50,0.23255814,94073.35079,956,89,0.093096234,611,0.639121339,256,0.267782427
5311703,2014,506,347,0.685770751,159,0.314229249,250,196,0.784,54,0.275510204,74307.1958,1083,87,0.08033241,778,0.718374885,218,0.201292705
5311704,2014,433,326,0.752886836,107,0.247113164,303,266,0.877887789,37,0.139097744,117192.5825,1084,31,0.028597786,812,0.749077491,241,0.222324723
5311705,2014,601,478,0.795341098,123,0.204658902,385,321,0.833766234,64,0.199376947,87423.29207,1502,101,0.067243675,1300,0.86551265,101,0.067243675
5311706,2014,596,484,0.812080537,112,0.187919463,371,297,0.800539084,74,0.249158249,77938.06391,1335,82,0.061423221,1079,0.8082397,174,0.130337079
5311801,2014,760,597,0.785526316,163,0.214473684,474,382,0.805907173,92,0.240837696,89650.882,1722,85,0.049361208,1333,0.774099884,304,0.176538908
5311802,2014,570,430,0.754385965,140,0.245614035,308,246,0.798701299,62,0.25203252,67455.0608,1141,72,0.063102542,899,0.787905346,170,0.148992112
5311900,2014,629,495,0.786963434,134,0.213036566,334,265,0.793413174,69,0.260377358,57706.07721,1207,50,0.041425021,944,0.782104391,213,0.176470588
5310100,2013,859,592,0.689173458,267,0.310826542,414,338,0.816425121,76,0.224852071,68664.42985,1701,120,0.070546737,1324,0.778365667,257,0.151087596
5310200,2013,1926,1417,0.735721703,509,0.264278297,1028,848,0.824902724,180,0.212264151,76803.66624,3460,210,0.060693642,3000,0.867052023,250,0.072254335
5310300,2013,515,356,0.691262136,159,0.308737864,286,229,0.800699301,57,0.248908297,65386.16346,1039,186,0.179018287,808,0.777670837,45,0.043310876
