GEOID,Year,Count_HH,English_Only,Sh_Eng_Only,Other_Lang,Sh_Other_Lang,Tot_Fam_HH,Married_Fam_HH,Sh_Married_Fam,Single_Parent_Fam,Sh_Single_Fam,Average_HINCP,Count_Ind,HISP,Share_Hisp,White_Non_Hisp,Sh_White_Non_Hisp,Other,Sh_Other
5311604,2014,463,300,0.647948164,163,0.352051836,212,172,0.811320755,40,0.23255814,106370.8747,948,63,0.066455696,557,0.587552743,328,0.345991561
5311605,2014,568,380,0.669014085,188,0.330985915,305,230,0.754098361,75,0.326086957,94381.63796,1243,90,0.072405471,684,0.550281577,469,0.377312953
5311606,2014,517,371,0.717601547,146,0.282398453,300,244,0.813333333,56,0.229508197,99280.27332,1174,57,0.048551959,911,0.775979557,206,0.175468484
5311607,2014,569,349,0.613356766,220,0.386643234,337,299,0.887240356,38,0.127090301,128396.7336,1283,80,0.062353858,888,0.692127825,315,0.245518316
5311608,2014,600,345,0.575,255,0.425,382,328,0.858638743,54,0.164634146,147423.511,1391,54,0.038820992,838,0.602444285,499,0.358734723
5311609,2014,528,369,0.698863636,159,0.301136364,386,348,0.901554404,38,0.109195402,160428.7246,1386,70,0.050505051,957,0.69047619,359,0.259018759
5311610,2014,480,301,0.627083333,179,0.372916667,297,226,0.760942761,71,0.314159292,88267.32648,1149,116,0.100957354,559,0.486510009,474,0.412532637
5311611,2014,486,321,0.660493827,165,0.339506173,272,208,0.764705882,64,0.307692308,74060.59729,1161,165,0.142118863,617,0.531438415,379,0.326442722
5311612,2014,435,277,0.636781609,158,0.363218391,258,190,0.736434109,68,0.357894737,80635.73506,1010,118,0.116831683,612,0.605940594,280,0.277227723
5311613,2014,428,262,0.612149533,166,0.387850467,263,182,0.692015209,81,0.445054945,75556.49067,1025,97,0.094634146,556,0.542439024,372,0.362926829
5311614,2014,466,342,0.733905579,124,0.266094421,282,205,0.726950355,77,0.375609756,75783.29314,1100,111,0.100909091,709,0.644545455,280,0.254545455
5311615,2014,449,395,0.879732739,54,0.120267261,334,286,0.856287425,48,0.167832168,104314.5655,1191,52,0.043660789,1004,0.842989085,135,0.113350126
5311616,2014,410,318,0.775609756,92,0.224390244,294,261,0.887755102,33,0.126436782,140902.768,1053,64,0.060778727,848,0.805318139,141,0.133903134
5311701,2014,444,313,0.704954955,131,0.295045045,280,227,0.810714286,53,0.233480176,85670.71744,976,49,0.050204918,715,0.732581967,212,0.217213115
5311702,2014,408,264,0.647058824,144,0.352941176,265,215,0.811320755,50,0.23255814,94073.35079,956,89,0.093096234,611,0.639121339,256,0.267782427
5311703,2014,506,347,0.685770751,159,0.314229249,250,196,0.784,54,0.275510204,74307.1958,1083,87,0.08033241,778,0.718374885,218,0.201292705
5311704,2014,433,326,0.752886836,107,0.247113164,303,266,0.877887789,37,0.139097744,117192.5825,1084,31,0.028597786,812,0.749077491,241,0.222324723
5311705,2014,601,478,0.795341098,123,0.204658902,385,321,0.833766234,64,0.199376947,87423.29207,1502,101,0.067243675,1300,0.86551265,101,0.067243675
5311706,2014,596,484,0.812080537,112,0.187919463,371,297,0.800539084,74,0.249158249,77938.06391,1335,82,0.061423221,1079,0.8082397,174,0.130337079
5311801,2014,760,597,0.785526316,163,0.214473684,474,382,0.805907173,92,0.240837696,89650.882,1722,85,0.049361208,1333,0.774099884,304,0.176538908
5311802,2014,570,430,0.754385965,140,0.245614035,308,246,0.798701299,62,0.25203252,67455.0608,1141,72,0.063102542,899,0.787905346,170,0.148992112
5311900,2014,629,495,0.786963434,134,0.213036566,334,265,0.793413174,69,0.260377358,57706.07721,1207,50,0.041425021,944,0.782104391,213,0.176470588
